# cosmological_parameters--omega_m	cosmological_parameters--h0	cosmological_parameters--omega_b	cosmological_parameters--n_s	cosmological_parameters--a_s	cosmological_parameters--omega_k	cosmological_parameters--tau	weight	post
# sampler=weighted_metropolis
5.121141999999999639e-01 5.239867999999999748e-01 8.191809629357073297e-02 9.740419000000000160e-01 2.113811000000000074e-09 -5.202338000000000101e-02 5.914795999999999943e-02 2.000000000000000000e+00 -5.641823000000000320e+03
5.296741999999999839e-01 5.136353000000000169e-01 8.545188245224158430e-02 9.722555999999999976e-01 2.158177999999999865e-09 -5.747205999999999843e-02 7.307621000000000255e-02 1.000000000000000000e+00 -5.643872000000000298e+03
5.174212999999999729e-01 5.188110000000000221e-01 8.415701265173276824e-02 9.791558999999999680e-01 2.070613999999999773e-09 -5.648303999999999825e-02 5.666423999999999767e-02 2.000000000000000000e+00 -5.635405999999999949e+03
5.273444000000000464e-01 5.137572999999999723e-01 8.593891019499878825e-02 9.793768000000000473e-01 2.076035000000000266e-09 -5.935326999999999964e-02 5.753975000000000062e-02 1.000000000000000000e+00 -5.636466999999999643e+03
6.545395999999999992e-01 4.604369999999999852e-01 1.088718731614434360e-01 9.821929999999999827e-01 2.096217999999999802e-09 -9.647564999999999613e-02 5.911993000000000109e-02 1.000000000000000000e+00 -5.635069000000000415e+03
4.646507000000000276e-01 5.443970000000000198e-01 7.580296423419639884e-02 9.757008999999999821e-01 2.235703000000000174e-09 -4.399746000000000212e-02 9.116713999999999374e-02 4.000000000000000000e+00 -5.636337999999999738e+03
4.985806999999999878e-01 5.290894000000000430e-01 8.082884259898939772e-02 9.692627999999999799e-01 2.066812999999999943e-09 -5.054855999999999933e-02 5.056345000000000284e-02 5.000000000000000000e+00 -5.634677999999999884e+03
4.897095000000000198e-01 5.395141999999999438e-01 7.637068218103426620e-02 9.687337000000000309e-01 2.094732999999999988e-09 -4.215151999999999788e-02 5.494518999999999792e-02 3.000000000000000000e+00 -5.639015000000000327e+03
5.513584999999999736e-01 5.135863999999999985e-01 8.424072707040139441e-02 9.617274999999999574e-01 2.107388999999999783e-09 -5.124233000000000260e-02 5.335274999999999740e-02 2.000000000000000000e+00 -5.635018000000000029e+03
4.504026999999999892e-01 5.588745000000000518e-01 7.160914192937514744e-02 9.704850000000000421e-01 2.129402999999999828e-09 -3.576221000000000261e-02 6.574396999999999880e-02 1.000000000000000000e+00 -5.634497999999999593e+03
6.057881000000000515e-01 4.802367999999999637e-01 9.825203581507810369e-02 9.810942999999999747e-01 2.184070999999999788e-09 -7.934868000000000476e-02 7.923209000000000501e-02 5.000000000000000000e+00 -5.641530999999999949e+03
5.160434000000000410e-01 5.249389999999999334e-01 8.156442230475251243e-02 9.721887999999999641e-01 1.986471999999999879e-09 -5.051926999999999807e-02 2.880593000000000042e-02 1.000000000000000000e+00 -5.637542000000000371e+03
4.810787999999999731e-01 5.382689999999999975e-01 7.652618267461348822e-02 9.689147999999999650e-01 2.118294999999999663e-09 -4.421322999999999920e-02 6.610610999999999571e-02 1.000000000000000000e+00 -5.638595000000000255e+03
5.328880999999999757e-01 5.154663000000000439e-01 8.370699688673255423e-02 9.681946999999999637e-01 2.066418999999999665e-09 -5.452310999999999963e-02 5.131763999999999770e-02 2.000000000000000000e+00 -5.635372000000000298e+03
4.428463999999999734e-01 5.671997000000000844e-01 6.955042583353886199e-02 9.598246000000000278e-01 2.099967000000000013e-09 -3.058651999999999899e-02 5.039003000000000232e-02 4.000000000000000000e+00 -5.638930000000000291e+03
5.664671999999999485e-01 5.003296000000000410e-01 8.974236466935635315e-02 9.700043999999999889e-01 1.987857999999999982e-09 -6.322028999999999843e-02 2.938137000000000040e-02 3.000000000000000000e+00 -5.632182999999999993e+03
4.169126000000000221e-01 5.738647000000000054e-01 6.838856596853391812e-02 9.789681999999999551e-01 2.096836000000000347e-09 -3.310575000000000323e-02 5.924585999999999741e-02 1.000000000000000000e+00 -5.638770999999999731e+03
4.433786000000000116e-01 5.620971999999999635e-01 7.186528108131673420e-02 9.729151999999999800e-01 2.107857000000000076e-09 -3.658416999999999919e-02 5.919811999999999991e-02 3.000000000000000000e+00 -5.634257999999999811e+03
4.470840999999999843e-01 5.640503000000000045e-01 6.987536846298925131e-02 9.654232000000000369e-01 2.051898000000000104e-09 -3.122225000000000000e-02 4.452267000000000030e-02 3.000000000000000000e+00 -5.636052999999999884e+03
4.548790999999999807e-01 5.598267000000000104e-01 7.216940569359592272e-02 9.610577000000000147e-01 2.143780000000000222e-09 -3.430886999999999826e-02 6.509199000000000235e-02 2.000000000000000000e+00 -5.637130000000000109e+03
5.029917999999999889e-01 5.313110000000000888e-01 7.982811980337535529e-02 9.659782999999999564e-01 2.088493000000000224e-09 -4.676807999999999660e-02 5.370835999999999666e-02 3.000000000000000000e+00 -5.637810999999999694e+03
4.188127999999999851e-01 5.807006999999999586e-01 6.720176754506956840e-02 9.718965000000000520e-01 2.191673999999999767e-09 -2.783541999999999961e-02 7.834908000000000150e-02 3.000000000000000000e+00 -5.635065999999999804e+03
3.830537999999999998e-01 6.125732000000000399e-01 5.929412818742393898e-02 9.634148999999999630e-01 2.279828000000000164e-09 -1.404044999999999946e-02 9.421110000000000595e-02 1.000000000000000000e+00 -5.640068000000000211e+03
5.921798999999999813e-01 4.842162999999999884e-01 9.621188276324500743e-02 9.744810999999999890e-01 2.078833000000000074e-09 -7.583476999999999579e-02 5.699814999999999743e-02 5.000000000000000000e+00 -5.636194999999999709e+03
5.935947000000000306e-01 4.868286000000000002e-01 9.438963343537100370e-02 9.676689000000000540e-01 2.029745999999999910e-09 -7.171777000000000013e-02 3.926255000000000023e-02 3.000000000000000000e+00 -5.637649000000000342e+03
6.220630999999999799e-01 4.799927000000000499e-01 9.760357639176238387e-02 9.630701000000000400e-01 2.069599000000000062e-09 -7.531375999999999349e-02 4.187616000000000255e-02 2.000000000000000000e+00 -5.638458999999999833e+03
4.934741000000000266e-01 5.285767000000000104e-01 8.216248463112296729e-02 9.819974000000000203e-01 2.225819000000000170e-09 -5.349853999999999721e-02 8.899817999999999618e-02 3.000000000000000000e+00 -5.637893000000000029e+03
5.197580000000000533e-01 5.209595000000000198e-01 8.284786059097039301e-02 9.733642000000000127e-01 2.238744000000000102e-09 -5.275351000000000345e-02 8.757639000000000395e-02 2.000000000000000000e+00 -5.635625000000000000e+03
8.100815999999999573e-01 4.102356000000000336e-01 1.379258546840084199e-01 9.848812999999999596e-01 2.128528999999999981e-09 -1.473468000000000000e-01 6.866759000000000057e-02 4.000000000000000000e+00 -5.644907000000000153e+03
5.196722000000000286e-01 5.219603999999999910e-01 8.318370577205320970e-02 9.759219999999999562e-01 2.147964000000000132e-09 -5.318616000000000316e-02 7.216356000000000159e-02 2.000000000000000000e+00 -5.635594000000000051e+03
4.315243000000000273e-01 5.782836999999999561e-01 6.735693534205536293e-02 9.623901000000000261e-01 2.127505000000000296e-09 -2.599657000000000009e-02 5.596075999999999828e-02 1.000000000000000000e+00 -5.636555999999999585e+03
4.599614000000000202e-01 5.509398999999999269e-01 7.360553701593125497e-02 9.707552000000000403e-01 2.080886000000000211e-09 -3.977797000000000277e-02 5.432221000000000272e-02 4.000000000000000000e+00 -5.634944000000000415e+03
4.397446999999999884e-01 5.687621999999999955e-01 6.946653505327886335e-02 9.650868999999999698e-01 2.189299999999999874e-09 -3.024088999999999944e-02 7.747062000000000392e-02 1.000000000000000000e+00 -5.636603000000000065e+03
3.625636999999999888e-01 6.196045000000000025e-01 5.823194329077402420e-02 9.719265999999999739e-01 2.325764999999999981e-09 -1.672803999999999958e-02 1.115141000000000049e-01 1.000000000000000000e+00 -5.644280999999999949e+03
6.500901000000000041e-01 4.654662999999999995e-01 1.046223924581657500e-01 9.704861999999999655e-01 1.958942999999999984e-09 -8.874232999999999427e-02 2.536868999999999930e-02 2.000000000000000000e+00 -5.637341000000000349e+03
4.659546999999999994e-01 5.469604000000000132e-01 7.484153951835713359e-02 9.715795999999999877e-01 2.100836999999999825e-09 -4.141268000000000032e-02 5.696559999999999818e-02 5.000000000000000000e+00 -5.638015000000000327e+03
5.179470999999999936e-01 5.255737000000000325e-01 8.151061189054281675e-02 9.624599999999999822e-01 2.049386000000000061e-09 -4.827294000000000029e-02 3.951016999999999724e-02 3.000000000000000000e+00 -5.635416000000000167e+03
5.270517999999999592e-01 5.119263000000000563e-01 8.624934641340212260e-02 9.722769999999999468e-01 2.198138000000000211e-09 -6.062274000000000135e-02 8.207636999999999572e-02 1.000000000000000000e+00 -5.638262999999999920e+03
4.216127000000000069e-01 5.826782000000000350e-01 6.676124605725766714e-02 9.663081999999999505e-01 2.125281000000000242e-09 -2.557140999999999928e-02 6.300632999999999928e-02 1.000000000000000000e+00 -5.640381999999999607e+03
4.945399999999999796e-01 5.410766999999999660e-01 7.652631594384232128e-02 9.628189000000000330e-01 2.021182999999999968e-09 -3.916371999999999909e-02 3.280270999999999881e-02 2.000000000000000000e+00 -5.635442000000000007e+03
6.690658999999999912e-01 4.624877999999999489e-01 1.053295480065309375e-01 9.686441000000000079e-01 1.948238999999999976e-09 -8.827044000000000556e-02 1.687284999999999827e-02 2.000000000000000000e+00 -5.641422999999999774e+03
4.628319000000000183e-01 5.607543999999999862e-01 7.102410498669842198e-02 9.635078999999999727e-01 2.206392000000000088e-09 -3.114868999999999971e-02 7.598697999999999564e-02 1.000000000000000000e+00 -5.638523000000000138e+03
5.384385000000000421e-01 5.153687000000000129e-01 8.515923561882200732e-02 9.720693999999999724e-01 2.172931000000000176e-09 -5.478704999999999686e-02 7.029871999999999510e-02 3.000000000000000000e+00 -5.634581000000000131e+03
4.483267000000000224e-01 5.586059999999999359e-01 7.061300848260065877e-02 9.735397999999999552e-01 2.244143000000000199e-09 -3.431734000000000173e-02 9.054753000000000107e-02 1.000000000000000000e+00 -5.642579999999999927e+03
4.273948000000000191e-01 5.679321000000000508e-01 7.021729891604769347e-02 9.812577000000000105e-01 2.105312000000000267e-09 -3.537877999999999856e-02 6.023222000000000298e-02 3.000000000000000000e+00 -5.634969000000000051e+03
2.899589000000000194e-01 6.906494000000000799e-01 4.669951587339645632e-02 9.706645000000000412e-01 2.132906000000000203e-09 9.671067999999999408e-05 6.515946000000000238e-02 1.000000000000000000e+00 -5.645252999999999702e+03
7.048415000000000097e-01 4.429565000000000308e-01 1.172408438132801628e-01 9.757961000000000551e-01 1.993044999999999914e-09 -1.117501999999999940e-01 3.354702999999999852e-02 3.000000000000000000e+00 -5.643006999999999607e+03
6.658393000000000228e-01 4.521361999999999881e-01 1.113901981253263423e-01 9.903054000000000023e-01 2.083653000000000063e-09 -1.031904000000000016e-01 5.859782999999999659e-02 1.000000000000000000e+00 -5.642627000000000407e+03
4.822056000000000120e-01 5.432983000000000118e-01 7.757734169797753099e-02 9.687500999999999474e-01 2.127944000000000029e-09 -4.287980000000000264e-02 6.129640000000000088e-02 4.000000000000000000e+00 -5.633796999999999571e+03
5.770849999999999591e-01 4.936889999999999890e-01 9.235735517265256100e-02 9.692380000000000440e-01 2.051286999999999722e-09 -6.827448999999999324e-02 4.992329000000000211e-02 2.000000000000000000e+00 -5.635782000000000153e+03
5.761218999999999646e-01 4.900757000000000030e-01 9.537348636403077118e-02 9.798122999999999694e-01 2.059951000000000014e-09 -7.481192000000000397e-02 5.236531999999999992e-02 1.000000000000000000e+00 -5.635003999999999905e+03
4.344461000000000017e-01 5.676392000000000104e-01 7.024276300900214598e-02 9.763098999999999528e-01 2.225947999999999932e-09 -3.403381999999999935e-02 8.986816000000000249e-02 5.000000000000000000e+00 -5.640118999999999687e+03
4.567102000000000106e-01 5.598999000000000059e-01 7.143054051346721389e-02 9.669773000000000396e-01 2.225420999999999857e-09 -3.334427999999999698e-02 8.434313000000000227e-02 3.000000000000000000e+00 -5.639623999999999796e+03
5.458720000000000239e-01 5.056519000000000430e-01 8.879837555298716878e-02 9.745764999999999567e-01 2.193930000000000095e-09 -6.351420000000000676e-02 8.370205999999999480e-02 1.000000000000000000e+00 -5.635460000000000036e+03
4.763276000000000177e-01 5.394653000000000365e-01 7.791777561172298638e-02 9.801126000000000005e-01 2.105055999999999725e-09 -4.648617000000000027e-02 6.136366000000000043e-02 1.000000000000000000e+00 -5.635899000000000342e+03
5.893061000000000549e-01 4.901245000000000185e-01 9.380713509959370811e-02 9.662990000000000190e-01 2.072857000000000093e-09 -6.986768999999999619e-02 4.750102999999999964e-02 2.000000000000000000e+00 -5.637313000000000102e+03
5.494364000000000470e-01 5.003540000000000765e-01 8.983550788952238131e-02 9.762222000000000399e-01 2.028030000000000078e-09 -6.725945999999999314e-02 4.266240999999999783e-02 1.000000000000000000e+00 -5.636810999999999694e+03
5.635672999999999933e-01 4.979613999999999985e-01 9.148004414801248763e-02 9.756494999999999473e-01 2.008049999999999905e-09 -6.722580999999999696e-02 3.896771999999999736e-02 1.000000000000000000e+00 -5.634393000000000029e+03
8.035660000000000025e-01 4.172241000000000422e-01 1.298886494616428855e-01 9.728259999999999685e-01 1.990359999999999732e-09 -1.328322999999999865e-01 3.190389999999999893e-02 3.000000000000000000e+00 -5.642694999999999709e+03
3.849502000000000201e-01 6.113037000000000054e-01 5.951478031544125274e-02 9.533201999999999510e-01 2.094789000000000054e-09 -1.349065999999999980e-02 5.402002999999999666e-02 4.000000000000000000e+00 -5.641601999999999862e+03
6.289367999999999626e-01 4.719116000000000422e-01 1.025293792842732477e-01 9.760997999999999619e-01 2.036025000000000111e-09 -8.544013999999999776e-02 4.427949999999999942e-02 2.000000000000000000e+00 -5.635458999999999833e+03
5.147186000000000261e-01 5.260864000000000651e-01 8.108632202230599273e-02 9.665329000000000281e-01 2.052277000000000150e-09 -4.963479999999999975e-02 4.471486999999999684e-02 1.000000000000000000e+00 -5.635417999999999665e+03
5.290030999999999484e-01 5.176146999999999831e-01 8.451780120727123147e-02 9.701309000000000182e-01 2.098586000000000264e-09 -5.434346000000000315e-02 5.376355000000000023e-02 1.000000000000000000e+00 -5.634390999999999622e+03
6.785851999999999995e-01 4.521605999999999681e-01 1.121369468862375707e-01 9.774306000000000383e-01 2.066335000000000186e-09 -1.024523999999999990e-01 5.014028999999999708e-02 1.000000000000000000e+00 -5.638555000000000291e+03
4.518311999999999884e-01 5.567016999999999660e-01 7.306638832742222422e-02 9.759176999999999991e-01 2.213424999999999933e-09 -3.735543999999999670e-02 8.470642999999999923e-02 4.000000000000000000e+00 -5.637649000000000342e+03
3.786649999999999738e-01 6.070067999999999575e-01 6.131205093221063496e-02 9.720560999999999785e-01 2.330733999999999905e-09 -2.025325000000000042e-02 1.100808000000000064e-01 3.000000000000000000e+00 -5.644304000000000087e+03
3.978664000000000089e-01 5.933838000000000168e-01 6.441959897432235349e-02 9.743931000000000120e-01 2.358687000000000129e-09 -2.436436999999999978e-02 1.154363999999999946e-01 3.000000000000000000e+00 -5.638235999999999876e+03
4.027805999999999886e-01 5.949950999999999990e-01 6.332897187971048281e-02 9.654376000000000069e-01 2.182065000000000157e-09 -2.152015999999999998e-02 7.234200999999999826e-02 3.000000000000000000e+00 -5.636362000000000080e+03
4.532694999999999919e-01 5.558471999999999857e-01 7.316028938723441455e-02 9.806584000000000412e-01 2.246802999999999856e-09 -3.816227999999999981e-02 9.140288000000000579e-02 2.000000000000000000e+00 -5.642618999999999687e+03
4.971219000000000054e-01 5.266724000000000405e-01 8.197680835293234825e-02 9.811898999999999482e-01 2.227126000000000318e-09 -5.391801999999999706e-02 9.254162000000000499e-02 1.000000000000000000e+00 -5.640421999999999571e+03
7.381969999999999921e-01 4.347534000000000121e-01 1.183665869004095067e-01 9.713648000000000282e-01 2.081995000000000109e-09 -1.141371000000000052e-01 5.395521000000000345e-02 2.000000000000000000e+00 -5.638259000000000015e+03
7.666302999999999868e-01 4.281127999999999600e-01 1.239353962016436494e-01 9.710535999999999612e-01 1.983317999999999913e-09 -1.207204000000000055e-01 2.839343999999999896e-02 4.000000000000000000e+00 -5.643042999999999665e+03
4.200354000000000032e-01 5.802367999999999970e-01 6.631661683264443441e-02 9.689801000000000109e-01 2.061980999999999851e-09 -2.654248999999999845e-02 4.897167000000000187e-02 5.000000000000000000e+00 -5.637692000000000007e+03
6.834470999999999741e-01 4.513550000000000062e-01 1.103841180250280524e-01 9.723705000000000265e-01 2.093570000000000247e-09 -1.004150999999999933e-01 5.631317999999999740e-02 1.000000000000000000e+00 -5.636988000000000284e+03
6.291824999999999779e-01 4.681762999999999897e-01 1.055486130515401327e-01 9.836595000000000200e-01 2.148013999999999940e-09 -9.138042999999999860e-02 7.125529999999999364e-02 1.000000000000000000e+00 -5.635203999999999724e+03
4.076153000000000137e-01 5.942627000000000326e-01 6.287454594995935120e-02 9.628980000000000317e-01 2.205217999999999736e-09 -1.949880999999999837e-02 7.835417000000000076e-02 2.000000000000000000e+00 -5.635934000000000196e+03
3.473049000000000275e-01 6.386475000000000346e-01 5.508656026782469267e-02 9.747223000000000415e-01 2.292829999999999826e-09 -9.479450000000000376e-03 9.962911000000000683e-02 1.000000000000000000e+00 -5.636056999999999789e+03
3.900339999999999918e-01 5.981689000000000034e-01 6.359923507670253717e-02 9.696687000000000500e-01 2.257447000000000177e-09 -2.380621999999999946e-02 9.512963000000000668e-02 1.000000000000000000e+00 -5.637146999999999935e+03
4.927440000000000153e-01 5.342407000000000128e-01 7.998489893234202175e-02 9.770107000000000097e-01 2.211781000000000306e-09 -4.886705999999999689e-02 8.510592999999999630e-02 4.000000000000000000e+00 -5.637699999999999818e+03
4.626075000000000048e-01 5.520142000000000104e-01 7.336188532347284741e-02 9.774481000000000419e-01 2.099803999999999752e-09 -3.803767000000000259e-02 5.665387000000000201e-02 1.000000000000000000e+00 -5.635400999999999840e+03
5.705601999999999618e-01 4.962035999999999669e-01 9.299218100778032514e-02 9.739898999999999640e-01 1.963186999999999995e-09 -6.940003000000000144e-02 3.024276000000000048e-02 3.000000000000000000e+00 -5.635604000000000269e+03
5.091322000000000347e-01 5.192504999999999482e-01 8.409535282928216893e-02 9.803865000000000496e-01 2.030102999999999974e-09 -5.784548999999999941e-02 4.426904000000000255e-02 1.000000000000000000e+00 -5.637756999999999607e+03
3.735291000000000028e-01 6.161864999999999704e-01 5.907271179392262900e-02 9.674814999999999943e-01 2.253175999999999830e-09 -1.508518000000000012e-02 8.715472000000000496e-02 1.000000000000000000e+00 -5.636127000000000407e+03
5.104343000000000075e-01 5.253539999999999877e-01 8.061694178737398297e-02 9.731518999999999586e-01 2.223547000000000118e-09 -5.021820999999999924e-02 8.624208999999999348e-02 2.000000000000000000e+00 -5.639530999999999949e+03
3.277934000000000125e-01 6.532958999999999294e-01 5.214529741165815913e-02 9.679267000000000287e-01 2.427194000000000211e-09 -6.439877000000000101e-03 1.273559999999999970e-01 1.300000000000000000e+01 -5.646047999999999774e+03
3.948165000000000147e-01 5.958740000000000148e-01 6.237772973535982840e-02 9.668444000000000482e-01 2.269474999999999962e-09 -2.196684000000000136e-02 9.772245000000000237e-02 2.000000000000000000e+00 -5.641990999999999985e+03
7.226460000000000106e-01 4.457885999999999793e-01 1.131382557913115927e-01 9.609784000000000104e-01 2.033919000000000036e-09 -1.010525000000000034e-01 3.188189000000000300e-02 2.000000000000000000e+00 -5.642055999999999585e+03
3.988868999999999887e-01 5.899291999999999314e-01 6.490592408839992999e-02 9.794040999999999997e-01 2.127473000000000021e-09 -2.622996999999999829e-02 6.259330000000000449e-02 1.000000000000000000e+00 -5.635954999999999927e+03
6.663063000000000180e-01 4.532104000000000132e-01 1.113157600052926133e-01 9.861432999999999449e-01 1.925794999999999759e-09 -1.028454000000000035e-01 2.501866999999999980e-02 4.000000000000000000e+00 -5.643865999999999985e+03
5.468646999999999814e-01 5.081421000000000410e-01 8.701758169048513791e-02 9.723190999999999917e-01 2.000922999999999874e-09 -5.917009000000000157e-02 3.726859999999999895e-02 1.000000000000000000e+00 -5.637042999999999665e+03
4.415185999999999833e-01 5.708862000000000103e-01 6.800407587332930881e-02 9.643511000000000166e-01 2.063200999999999977e-09 -2.835019000000000081e-02 3.923755999999999772e-02 2.000000000000000000e+00 -5.639984000000000378e+03
3.358536999999999773e-01 6.511963000000000612e-01 5.310205967259448018e-02 9.680809000000000220e-01 2.222198999999999721e-09 -5.826215000000000040e-03 8.421623000000000303e-02 2.000000000000000000e+00 -5.636430999999999585e+03
3.690494000000000274e-01 6.225342000000000375e-01 5.816856675875471672e-02 9.669543999999999917e-01 2.221788000000000228e-09 -1.276011999999999980e-02 8.388650000000000273e-02 1.000000000000000000e+00 -5.636823000000000320e+03
5.013404999999999667e-01 5.270141999999999882e-01 8.220754620338946439e-02 9.705340000000000078e-01 2.098507999999999801e-09 -5.299620000000000025e-02 5.751131999999999772e-02 1.000000000000000000e+00 -5.645970000000000255e+03
5.232809000000000488e-01 5.161987000000000103e-01 8.402783812720508727e-02 9.789670999999999790e-01 2.080452000000000003e-09 -5.667447999999999930e-02 5.475377000000000022e-02 1.000000000000000000e+00 -5.635078999999999724e+03
4.449698000000000264e-01 5.539429000000000158e-01 7.351167944663360154e-02 9.775823000000000151e-01 2.163762999999999696e-09 -4.211427000000000226e-02 7.979878999999999445e-02 7.000000000000000000e+00 -5.640036000000000058e+03
6.130653999999999826e-01 4.756470000000000420e-01 9.846443265759254049e-02 9.720672999999999675e-01 1.965380000000000093e-09 -8.162690000000000223e-02 2.535188000000000025e-02 1.000000000000000000e+00 -5.640033000000000357e+03
5.275982000000000172e-01 5.102417000000000202e-01 8.732827953983379743e-02 9.836890999999999829e-01 2.184276000000000202e-09 -6.352230000000000376e-02 7.956626999999999450e-02 7.000000000000000000e+00 -5.641203999999999724e+03
3.547622999999999749e-01 6.194579999999999531e-01 5.959019738398305122e-02 9.896374999999999478e-01 2.341365000000000217e-09 -2.035193999999999892e-02 1.194088999999999984e-01 1.000000000000000000e+00 -5.644801999999999680e+03
3.826541999999999999e-01 6.031493999999999467e-01 6.163256105147567332e-02 9.822842000000000517e-01 2.362398999999999712e-09 -2.120866000000000071e-02 1.171818000000000026e-01 1.000000000000000000e+00 -5.639023000000000138e+03
5.415756000000000459e-01 5.031372000000000622e-01 8.950552935106459440e-02 9.814815999999999541e-01 2.136380000000000020e-09 -6.747209999999999319e-02 6.771186999999999345e-02 4.000000000000000000e+00 -5.636529000000000451e+03
5.206714999999999538e-01 5.138793999999999862e-01 8.556729517070044144e-02 9.780900999999999623e-01 2.161773999999999694e-09 -6.035019999999999968e-02 7.283298000000000549e-02 2.000000000000000000e+00 -5.643310000000000400e+03
6.264817000000000302e-01 4.771851000000000287e-01 9.946170864652817412e-02 9.589197999999999888e-01 2.013040999999999811e-09 -7.714374000000000231e-02 3.570807000000000148e-02 1.000000000000000000e+00 -5.642990999999999985e+03
4.531491999999999742e-01 5.514037999999999995e-01 7.442488566717050946e-02 9.740031999999999579e-01 2.065642000000000134e-09 -4.177481999999999723e-02 5.341962000000000099e-02 7.000000000000000000e+00 -5.637247000000000298e+03
5.168565000000000520e-01 5.316528000000000365e-01 7.890857650659120759e-02 9.593460999999999794e-01 2.005798999999999931e-09 -4.239924999999999944e-02 2.906658999999999979e-02 3.000000000000000000e+00 -5.637943000000000211e+03
6.463546000000000014e-01 4.653441999999999856e-01 1.064418763148748531e-01 9.795842999999999634e-01 2.192485000000000210e-09 -9.104146000000000460e-02 7.894183000000000450e-02 2.000000000000000000e+00 -5.638064999999999600e+03
5.935553999999999553e-01 4.880736999999999992e-01 9.527977145833234351e-02 9.719105000000000105e-01 2.059782999999999814e-09 -7.248925000000000507e-02 4.706430000000000335e-02 2.000000000000000000e+00 -5.638106999999999971e+03
3.593963000000000019e-01 6.215087999999999724e-01 5.877262693143382039e-02 9.811450000000000449e-01 2.267758000000000225e-09 -1.744143999999999903e-02 9.164885000000000392e-02 1.100000000000000000e+01 -5.645627000000000407e+03
4.438095000000000234e-01 5.581665000000000099e-01 7.180944107153509892e-02 9.778120000000000145e-01 2.062587999999999785e-09 -3.782387000000000249e-02 5.306274999999999881e-02 6.000000000000000000e+00 -5.642997000000000298e+03
4.676939999999999986e-01 5.432251000000000163e-01 7.680375639595046766e-02 9.792836000000000318e-01 2.057081000000000002e-09 -4.518288000000000165e-02 4.606800999999999952e-02 1.000000000000000000e+00 -5.641056999999999789e+03
6.315155999999999548e-01 4.718383999999999912e-01 1.014951723581565129e-01 9.734281000000000184e-01 1.974947999999999868e-09 -8.378755999999999704e-02 2.549016000000000129e-02 3.000000000000000000e+00 -5.638521999999999935e+03
5.400386999999999826e-01 5.116821000000000286e-01 8.620408351518644985e-02 9.721248999999999585e-01 2.099072000000000090e-09 -5.829405000000000003e-02 5.578882000000000285e-02 1.000000000000000000e+00 -5.634819999999999709e+03
5.223622999999999461e-01 5.222533999999999788e-01 8.267437067738560297e-02 9.700516999999999612e-01 1.968402000000000168e-09 -5.100608999999999699e-02 2.131045999999999982e-02 4.000000000000000000e+00 -5.637068000000000211e+03
4.326618999999999882e-01 5.690308000000000588e-01 6.930538499939074837e-02 9.759543000000000523e-01 2.181995999999999669e-09 -3.195135000000000336e-02 7.598391999999999646e-02 1.000000000000000000e+00 -5.634353000000000065e+03
5.834848999999999730e-01 4.926391999999999993e-01 9.258155237917298219e-02 9.701813000000000242e-01 2.141119999999999737e-09 -6.851733999999999603e-02 6.601228000000000651e-02 1.000000000000000000e+00 -5.636074999999999818e+03
5.519129000000000396e-01 5.012573000000000167e-01 8.976192175932307116e-02 9.775038999999999811e-01 2.104443999999999852e-09 -6.560665000000000247e-02 6.176221999999999962e-02 1.000000000000000000e+00 -5.634220000000000255e+03
5.078017000000000225e-01 5.261840999999999324e-01 8.190487951214689422e-02 9.736736000000000280e-01 2.167537999999999924e-09 -5.099121999999999683e-02 7.501724999999999366e-02 1.000000000000000000e+00 -5.633764000000000124e+03
5.008146999999999460e-01 5.369751000000000385e-01 7.713198250135289147e-02 9.612266000000000421e-01 2.160440000000000038e-09 -4.104801999999999756e-02 6.790817000000000381e-02 3.000000000000000000e+00 -5.635359000000000378e+03
5.574221000000000315e-01 5.023560000000000247e-01 9.017574164380687263e-02 9.672595999999999972e-01 2.085223000000000090e-09 -6.499631999999999632e-02 5.574186999999999892e-02 2.000000000000000000e+00 -5.640194000000000415e+03
4.827942000000000067e-01 5.350708000000000686e-01 7.952982702338935728e-02 9.721682999999999852e-01 2.053251999999999932e-09 -4.982360999999999734e-02 4.997681999999999819e-02 1.000000000000000000e+00 -5.636742000000000189e+03
5.156228000000000478e-01 5.307494999999999852e-01 7.942908989547753373e-02 9.613064000000000053e-01 1.939279000000000040e-09 -4.379017999999999800e-02 1.093356000000000015e-02 2.000000000000000000e+00 -5.637381000000000313e+03
4.643574999999999786e-01 5.555053999999999270e-01 7.211053649073341509e-02 9.683591000000000282e-01 2.095636999999999884e-09 -3.497788999999999759e-02 5.625017999999999685e-02 2.000000000000000000e+00 -5.639061999999999898e+03
4.896179999999999977e-01 5.392700000000000271e-01 7.638897242172112967e-02 9.667409999999999615e-01 1.979932999999999929e-09 -4.158328000000000024e-02 2.328971000000000166e-02 2.000000000000000000e+00 -5.638856999999999971e+03
5.672679999999999945e-01 4.982056000000000262e-01 8.990792515578516220e-02 9.657436000000000353e-01 2.065944000000000037e-09 -6.493728000000000000e-02 4.614429999999999921e-02 1.000000000000000000e+00 -5.638662999999999556e+03
4.418412999999999924e-01 5.653930999999999818e-01 6.944619331580002830e-02 9.627837000000000200e-01 2.133465000000000139e-09 -3.133272000000000140e-02 6.738365000000000327e-02 2.000000000000000000e+00 -5.637832999999999629e+03
5.300605000000000455e-01 5.141235000000000666e-01 8.617998549169274269e-02 9.682110999999999912e-01 2.012897999999999722e-09 -5.839964999999999740e-02 4.108310999999999907e-02 1.000000000000000000e+00 -5.633862000000000080e+03
