# cosmological_parameters--omega_m	cosmological_parameters--h0	cosmological_parameters--omega_b	cosmological_parameters--n_s	cosmological_parameters--a_s	cosmological_parameters--omega_k	cosmological_parameters--tau	weight	post
# sampler=weighted_metropolis
4.764009000000000160e-01 5.390258999999999467e-01 7.876990192015301262e-02 9.816645000000000509e-01 2.108772999999999662e-09 -4.803103000000000233e-02 7.129085999999999756e-02 4.000000000000000000e+00 -5.641697000000000116e+03
4.902790000000000203e-01 5.305786000000000113e-01 8.014723242602500575e-02 9.752781999999999840e-01 2.050751999999999992e-09 -5.117445999999999801e-02 4.952096999999999749e-02 2.000000000000000000e+00 -5.633989999999999782e+03
4.957430999999999921e-01 5.276733000000000118e-01 8.143518299267950289e-02 9.794848000000000443e-01 2.142503000000000124e-09 -5.212897999999999837e-02 7.193355999999999362e-02 1.000000000000000000e+00 -5.641386000000000422e+03
5.470205999999999680e-01 5.044311999999999685e-01 8.873132584794687916e-02 9.822880999999999974e-01 2.080835999999999989e-09 -6.335203000000000362e-02 5.671484999999999721e-02 1.000000000000000000e+00 -5.639000000000000000e+03
5.034267000000000047e-01 5.261352999999999724e-01 8.207418214656238276e-02 9.767008999999999830e-01 2.237610999999999998e-09 -5.291919999999999957e-02 9.318970999999999505e-02 1.000000000000000000e+00 -5.635005000000000109e+03
5.758691999999999700e-01 4.883910999999999669e-01 9.670967904973032381e-02 9.820322999999999691e-01 2.091282999999999963e-09 -7.803541999999999423e-02 6.222749000000000336e-02 1.000000000000000000e+00 -5.640734999999999673e+03
4.681003000000000247e-01 5.430541999999999314e-01 7.719658499637252480e-02 9.842925000000000146e-01 2.265883000000000167e-09 -4.665492999999999724e-02 9.838913999999999993e-02 3.000000000000000000e+00 -5.637269000000000233e+03
4.761259999999999937e-01 5.399779999999999580e-01 7.783151316557739008e-02 9.806148000000000087e-01 2.266830999999999614e-09 -4.707400999999999947e-02 9.728897999999999713e-02 2.000000000000000000e+00 -5.636876000000000204e+03
4.735893999999999937e-01 5.471068999999999516e-01 7.501875212537105486e-02 9.658851000000000520e-01 2.124895000000000033e-09 -3.931839000000000167e-02 6.137619999999999881e-02 1.000000000000000000e+00 -5.633242000000000189e+03
5.102018999999999860e-01 5.276977999999999946e-01 8.108879961473959563e-02 9.717054000000000524e-01 2.118745000000000008e-09 -4.900150000000000339e-02 6.399330000000000296e-02 1.000000000000000000e+00 -5.637265999999999622e+03
5.489739999999999620e-01 5.059203999999999368e-01 8.873934858264556635e-02 9.706232999999999667e-01 2.131558000000000220e-09 -6.220997000000000332e-02 6.332208000000000281e-02 3.000000000000000000e+00 -5.638315999999999804e+03
4.743417999999999801e-01 5.462279999999999358e-01 7.583412222565626137e-02 9.622252000000000027e-01 2.175787999999999766e-09 -4.147179000000000143e-02 6.817067999999999739e-02 1.000000000000000000e+00 -5.637243999999999687e+03
6.131436000000000108e-01 4.757446000000000175e-01 9.955334627884578069e-02 9.734920999999999713e-01 2.032937999999999996e-09 -8.266956999999999778e-02 4.384936999999999863e-02 7.000000000000000000e+00 -5.636873999999999796e+03
5.454485000000000028e-01 5.047485000000000444e-01 8.991496544504910815e-02 9.747156000000000153e-01 2.078453000000000122e-09 -6.553274000000000599e-02 5.176379999999999870e-02 2.000000000000000000e+00 -5.634067000000000007e+03
7.031861000000000361e-01 4.462035999999999780e-01 1.153414402128994237e-01 9.761155999999999722e-01 2.021091000000000006e-09 -1.069901000000000046e-01 3.971231000000000066e-02 2.000000000000000000e+00 -5.635724000000000160e+03
8.394369000000000414e-01 4.072693000000000563e-01 1.385728460121296579e-01 9.820731000000000321e-01 1.982854000000000068e-09 -1.460816000000000059e-01 3.623147000000000173e-02 2.000000000000000000e+00 -5.640578000000000429e+03
4.756886000000000170e-01 5.395873999999999393e-01 7.832612968399532694e-02 9.778280000000000305e-01 2.237814000000000189e-09 -4.815511000000000097e-02 9.445721999999999452e-02 3.000000000000000000e+00 -5.636247000000000298e+03
4.608694999999999875e-01 5.503784000000000454e-01 7.441010539901385390e-02 9.751526999999999834e-01 2.150605999999999842e-09 -4.190374999999999656e-02 6.445035000000000347e-02 1.000000000000000000e+00 -5.642970000000000255e+03
5.366697000000000273e-01 5.052368000000000414e-01 9.023262105582459391e-02 9.848002999999999618e-01 2.143354000000000083e-09 -6.797187999999999841e-02 6.699570999999999998e-02 6.000000000000000000e+00 -5.640257999999999811e+03
5.340036000000000227e-01 5.124877999999999378e-01 8.535021455506766608e-02 9.703821000000000252e-01 2.107908999999999695e-09 -5.743593999999999783e-02 6.200594999999999718e-02 1.000000000000000000e+01 -5.632546000000000276e+03
4.175382999999999734e-01 5.842895999999999646e-01 6.756907635061951134e-02 9.730267999999999695e-01 2.147459000000000039e-09 -2.725247000000000086e-02 6.862938000000000371e-02 1.000000000000000000e+00 -5.647368999999999687e+03
4.600159999999999805e-01 5.535278000000000143e-01 7.322193438541864385e-02 9.695017000000000218e-01 2.201158999999999967e-09 -3.774840000000000140e-02 8.362132999999999372e-02 2.000000000000000000e+00 -5.638175000000000182e+03
4.863492999999999844e-01 5.361694000000000182e-01 7.916748289785831283e-02 9.712547000000000263e-01 2.170743000000000018e-09 -4.749470000000000081e-02 7.483889999999999987e-02 1.000000000000000000e+00 -5.638547999999999774e+03
3.287391000000000063e-01 6.526122999999999230e-01 5.317886909777903154e-02 9.731667000000000511e-01 2.189208999999999817e-09 -8.095427000000000525e-03 8.113454999999999973e-02 7.000000000000000000e+00 -5.636310000000000400e+03
4.739565000000000028e-01 5.442017000000000104e-01 7.683791368602797822e-02 9.699797000000000002e-01 2.066990000000000118e-09 -4.310971000000000247e-02 5.032518999999999881e-02 1.000000000000000000e+00 -5.637970999999999549e+03
4.863696000000000130e-01 5.359252999999999378e-01 7.865382056558178903e-02 9.735312000000000410e-01 2.031165999999999684e-09 -4.753498999999999919e-02 3.740697999999999940e-02 1.000000000000000000e+00 -5.634742000000000189e+03
4.720034000000000174e-01 5.421264999999999556e-01 7.772759862166550571e-02 9.801014000000000115e-01 2.196699000000000171e-09 -4.621684000000000209e-02 7.676499999999999990e-02 1.000000000000000000e+00 -5.636831000000000131e+03
4.413137999999999783e-01 5.635132000000000474e-01 7.174749224088307342e-02 9.752562000000000175e-01 2.120956000000000053e-09 -3.599855999999999889e-02 6.641062999999999827e-02 3.000000000000000000e+00 -5.635722999999999956e+03
4.904301999999999828e-01 5.411255000000000370e-01 7.716432076001630835e-02 9.588138999999999967e-01 2.037231999999999816e-09 -4.122632999999999853e-02 3.704408000000000006e-02 1.000000000000000000e+00 -5.634828999999999724e+03
5.536434000000000077e-01 5.002075000000000271e-01 9.045454714733330848e-02 9.742115999999999554e-01 2.182443999999999789e-09 -6.714527000000000689e-02 8.082570999999999506e-02 3.000000000000000000e+00 -5.634033999999999651e+03
5.091029000000000249e-01 5.268920999999999744e-01 8.213827274141811963e-02 9.746166000000000551e-01 2.164265999999999979e-09 -5.156377999999999656e-02 7.023508000000000528e-02 3.000000000000000000e+00 -5.635407000000000153e+03
