#cosmological_parameters--omega_m  cosmological_parameters--hubble cosmological_parameters--ombh2 cosmological_parameters--tau cosmological_parameters--n_s cosmological_parameters--A_s like
3.126630E-01 6.751221E+01 2.229130E-02 5.648367E-02 9.681376E-01 2.10975e-09 6.480572E+03
3.160469E-01 6.718018E+01 2.221561E-02 4.188452E-02 9.642028E-01 2.04191e-09 6.491139E+03
3.343851E-01 6.595459E+01 2.198999E-02 7.409674E-02 9.572654E-01 2.18257e-09 6.482065E+03
3.151548E-01 6.729248E+01 2.217965E-02 8.556545E-02 9.671127E-01 2.21567e-09 6.480676E+03
3.272213E-01 6.638428E+01 2.198733E-02 7.675915E-02 9.643213E-01 2.18013e-09 6.484615E+03
3.362466E-01 6.590576E+01 2.217161E-02 7.065884E-02 9.563581E-01 2.18319e-09 6.481004E+03
3.174006E-01 6.701416E+01 2.202711E-02 7.172564E-02 9.592055E-01 2.14763e-09 6.490771E+03
3.226993E-01 6.674561E+01 2.218865E-02 6.012863E-02 9.586991E-01 2.11736e-09 6.484649E+03
3.122948E-01 6.740967E+01 2.213113E-02 9.827820E-02 9.683408E-01 2.28493e-09 6.481199E+03
3.218891E-01 6.676514E+01 2.206421E-02 8.278682E-02 9.670347E-01 2.20968e-09 6.490446E+03
3.174474E-01 6.701904E+01 2.210372E-02 8.219568E-02 9.669282E-01 2.19265e-09 6.484466E+03
3.118389E-01 6.751221E+01 2.235408E-02 8.757504E-02 9.646126E-01 2.24106e-09 6.486780E+03
3.105692E-01 6.759033E+01 2.237293E-02 8.852045E-02 9.701543E-01 2.22676e-09 6.485271E+03
2.952589E-01 6.890869E+01 2.265079E-02 9.875487E-02 9.730212E-01 2.27587e-09 6.482696E+03
3.128746E-01 6.754150E+01 2.237066E-02 8.429584E-02 9.635190E-01 2.23433e-09 6.482866E+03
3.183405E-01 6.695068E+01 2.213001E-02 6.563788E-02 9.651772E-01 2.11605e-09 6.485203E+03
3.105279E-01 6.754150E+01 2.207311E-02 1.160764E-01 9.722782E-01 2.35319e-09 6.483970E+03
3.202970E-01 6.694092E+01 2.224368E-02 1.183492E-01 9.604482E-01 2.37893e-09 6.489943E+03
3.170656E-01 6.705811E+01 2.222256E-02 6.914975E-02 9.605876E-01 2.15564e-09 6.490586E+03
3.159138E-01 6.711182E+01 2.208925E-02 9.731035E-02 9.685064E-01 2.2894e-09 6.488873E+03
3.172107E-01 6.720459E+01 2.241145E-02 9.830894E-02 9.602420E-01 2.29817e-09 6.486289E+03
3.191480E-01 6.687744E+01 2.199977E-02 6.016157E-02 9.583984E-01 2.11516e-09 6.480437E+03
3.076288E-01 6.783936E+01 2.234848E-02 7.828351E-02 9.657916E-01 2.18734e-09 6.483624E+03
3.101807E-01 6.764404E+01 2.245085E-02 7.692684E-02 9.665053E-01 2.17343e-09 6.492940E+03
3.368518E-01 6.582275E+01 2.214288E-02 4.453678E-02 9.586019E-01 2.06521e-09 6.487108E+03
3.176822E-01 6.709229E+01 2.218474E-02 9.522070E-02 9.698638E-01 2.26024e-09 6.483811E+03
3.273731E-01 6.651123E+01 2.237780E-02 7.256229E-02 9.596332E-01 2.17542e-09 6.488021E+03
3.215891E-01 6.686279E+01 2.202675E-02 7.488960E-02 9.641211E-01 2.17336e-09 6.484562E+03
3.167332E-01 6.715088E+01 2.218121E-02 9.833251E-02 9.714149E-01 2.27949e-09 6.479110E+03
3.199649E-01 6.701904E+01 2.230665E-02 6.058007E-02 9.599928E-01 2.12243e-09 6.486430E+03
3.384061E-01 6.572021E+01 2.203781E-02 4.775778E-02 9.522771E-01 2.07824e-09 6.486886E+03
3.045261E-01 6.811768E+01 2.245716E-02 7.716494E-02 9.686572E-01 2.18937e-09 6.481754E+03
3.256638E-01 6.664795E+01 2.223842E-02 9.010507E-02 9.648062E-01 2.26871e-09 6.480002E+03
3.113853E-01 6.757568E+01 2.230208E-02 8.648421E-02 9.662563E-01 2.22429e-09 6.483876E+03
3.249780E-01 6.658447E+01 2.213692E-02 5.370500E-02 9.566041E-01 2.09972e-09 6.482523E+03
3.164519E-01 6.715088E+01 2.207836E-02 6.484919E-02 9.660437E-01 2.16356e-09 6.482309E+03
3.130639E-01 6.737549E+01 2.210690E-02 6.184092E-02 9.659214E-01 2.15146e-09 6.484365E+03
3.246384E-01 6.662354E+01 2.215317E-02 6.314598E-02 9.645339E-01 2.1491e-09 6.485609E+03
3.237756E-01 6.663330E+01 2.215337E-02 3.914896E-02 9.606058E-01 2.05184e-09 6.482223E+03
3.199040E-01 6.689209E+01 2.205016E-02 6.995226E-02 9.666777E-01 2.16619e-09 6.485056E+03
3.217456E-01 6.683350E+01 2.215451E-02 5.549056E-02 9.659197E-01 2.10051e-09 6.484771E+03
3.066891E-01 6.796631E+01 2.239023E-02 1.179803E-01 9.718389E-01 2.37419e-09 6.478620E+03
3.322703E-01 6.595459E+01 2.179828E-02 8.438622E-02 9.568670E-01 2.21072e-09 6.486748E+03
3.197011E-01 6.690186E+01 2.214220E-02 6.634615E-02 9.580416E-01 2.15254e-09 6.483921E+03
3.160940E-01 6.719482E+01 2.222350E-02 9.456896E-02 9.647283E-01 2.27143e-09 6.475559E+03
3.303024E-01 6.624268E+01 2.205596E-02 9.497661E-02 9.586485E-01 2.27131e-09 6.482466E+03
3.167302E-01 6.712646E+01 2.216705E-02 7.385051E-02 9.619726E-01 2.17931e-09 6.486175E+03
3.136822E-01 6.738525E+01 2.215373E-02 5.433737E-02 9.636671E-01 2.0682e-09 6.484612E+03
2.969090E-01 6.868408E+01 2.256066E-02 1.005075E-01 9.762122E-01 2.28288e-09 6.486444E+03
3.009673E-01 6.841064E+01 2.240012E-02 9.802952E-02 9.684846E-01 2.30583e-09 6.489763E+03
2.991129E-01 6.846924E+01 2.245627E-02 8.569669E-02 9.680641E-01 2.24715e-09 6.491923E+03
3.152025E-01 6.736572E+01 2.238890E-02 7.241363E-02 9.661534E-01 2.21379e-09 6.489392E+03
2.884792E-01 6.936768E+01 2.261340E-02 8.761447E-02 9.782491E-01 2.22656e-09 6.484444E+03
3.109332E-01 6.766357E+01 2.242759E-02 9.297470E-02 9.628251E-01 2.25258e-09 6.480502E+03
3.029465E-01 6.815674E+01 2.241310E-02 8.710833E-02 9.733827E-01 2.22493e-09 6.474246E+03
3.382132E-01 6.567139E+01 2.186699E-02 5.251549E-02 9.572837E-01 2.12497e-09 6.486509E+03
3.228388E-01 6.668213E+01 2.198359E-02 7.279366E-02 9.682934E-01 2.1879e-09 6.483068E+03
3.264209E-01 6.646729E+01 2.212831E-02 8.342219E-02 9.591414E-01 2.2494e-09 6.486705E+03
3.076545E-01 6.784912E+01 2.229246E-02 1.034081E-01 9.769490E-01 2.29444e-09 6.489362E+03
3.277834E-01 6.648193E+01 2.224870E-02 1.015607E-01 9.622751E-01 2.31491e-09 6.489272E+03
3.274206E-01 6.643311E+01 2.215026E-02 7.127382E-02 9.594373E-01 2.18185e-09 6.486165E+03
3.124550E-01 6.740479E+01 2.229704E-02 9.957068E-02 9.636319E-01 2.30471e-09 6.481489E+03
3.230526E-01 6.661865E+01 2.203265E-02 5.796616E-02 9.579748E-01 2.13044e-09 6.483488E+03
3.248803E-01 6.662354E+01 2.219740E-02 7.325618E-02 9.648352E-01 2.19672e-09 6.481108E+03
3.221931E-01 6.676025E+01 2.213032E-02 7.587521E-02 9.562572E-01 2.2114e-09 6.485123E+03
3.258278E-01 6.669189E+01 2.231439E-02 8.588520E-02 9.581679E-01 2.25265e-09 6.482946E+03
3.060639E-01 6.788330E+01 2.233286E-02 9.887339E-02 9.688052E-01 2.29619e-09 6.480388E+03
3.126704E-01 6.756104E+01 2.240590E-02 8.513660E-02 9.693169E-01 2.22986e-09 6.483228E+03
3.033702E-01 6.826416E+01 2.255658E-02 8.180084E-02 9.729290E-01 2.20517e-09 6.481693E+03
3.174193E-01 6.712646E+01 2.222352E-02 8.492189E-02 9.656242E-01 2.21918e-09 6.485524E+03
3.109574E-01 6.756592E+01 2.223612E-02 9.384571E-02 9.696432E-01 2.28718e-09 6.481753E+03
3.144704E-01 6.740479E+01 2.241585E-02 4.303400E-02 9.602502E-01 2.05991e-09 6.481132E+03
3.120818E-01 6.748291E+01 2.230425E-02 1.055642E-01 9.666040E-01 2.31469e-09 6.482905E+03
3.073010E-01 6.782959E+01 2.242297E-02 6.786375E-02 9.715278E-01 2.12439e-09 6.485142E+03
3.238318E-01 6.647705E+01 2.196204E-02 7.160252E-02 9.602400E-01 2.1826e-09 6.489355E+03
3.320549E-01 6.609131E+01 2.209585E-02 8.105970E-02 9.561481E-01 2.24549e-09 6.484020E+03
3.380137E-01 6.571045E+01 2.199607E-02 4.291010E-02 9.521008E-01 2.0521e-09 6.485280E+03
3.147223E-01 6.730713E+01 2.224130E-02 6.462405E-02 9.638116E-01 2.12866e-09 6.483227E+03
3.154044E-01 6.734619E+01 2.243678E-02 8.940341E-02 9.623365E-01 2.26211e-09 6.484045E+03
3.090618E-01 6.779541E+01 2.249304E-02 6.771601E-02 9.683533E-01 2.14813e-09 6.483346E+03
2.989419E-01 6.856689E+01 2.248620E-02 8.342863E-02 9.667615E-01 2.2089e-09 6.486118E+03
3.410278E-01 6.554932E+01 2.191064E-02 5.829782E-02 9.568583E-01 2.12198e-09 6.490241E+03
3.171928E-01 6.728760E+01 2.259165E-02 7.327151E-02 9.610783E-01 2.18018e-09 6.491935E+03
3.315660E-01 6.615967E+01 2.211200E-02 8.366125E-02 9.589393E-01 2.20917e-09 6.487502E+03
3.235304E-01 6.673096E+01 2.228014E-02 9.500746E-02 9.645631E-01 2.26624e-09 6.487359E+03
3.140557E-01 6.745850E+01 2.237773E-02 1.287601E-01 9.654111E-01 2.43108e-09 6.482628E+03
3.112180E-01 6.760986E+01 2.230111E-02 1.030406E-01 9.661397E-01 2.31457e-09 6.479729E+03
3.156436E-01 6.733643E+01 2.239535E-02 8.220800E-02 9.613812E-01 2.22341e-09 6.483111E+03
3.145253E-01 6.734619E+01 2.222572E-02 9.680446E-02 9.667914E-01 2.28915e-09 6.478205E+03
3.054757E-01 6.808838E+01 2.247057E-02 8.821986E-02 9.726512E-01 2.23825e-09 6.483117E+03
3.096829E-01 6.762451E+01 2.228184E-02 1.100966E-01 9.668171E-01 2.3722e-09 6.490702E+03
3.240231E-01 6.671631E+01 2.234441E-02 3.946418E-02 9.585536E-01 2.06841e-09 6.498923E+03
3.063818E-01 6.791748E+01 2.239670E-02 1.173661E-01 9.643409E-01 2.38898e-09 6.489031E+03
3.156289E-01 6.734131E+01 2.231377E-02 5.626750E-02 9.631820E-01 2.12192e-09 6.485863E+03
3.176704E-01 6.713623E+01 2.215774E-02 8.437420E-02 9.657793E-01 2.23404e-09 6.476713E+03
3.241547E-01 6.670654E+01 2.224764E-02 9.793285E-02 9.612139E-01 2.31143e-09 6.481258E+03
3.042698E-01 6.810303E+01 2.244136E-02 1.210367E-01 9.721673E-01 2.38626e-09 6.481588E+03
3.089268E-01 6.777100E+01 2.242000E-02 9.479572E-02 9.676286E-01 2.25999e-09 6.483458E+03
3.149576E-01 6.729248E+01 2.221024E-02 7.580839E-02 9.645314E-01 2.1844e-09 6.476965E+03
3.185844E-01 6.697510E+01 2.212900E-02 9.345840E-02 9.651329E-01 2.28955e-09 6.481834E+03
3.213783E-01 6.676514E+01 2.207653E-02 6.332487E-02 9.630866E-01 2.14282e-09 6.480726E+03
3.055158E-01 6.796631E+01 2.237130E-02 9.164147E-02 9.661510E-01 2.25342e-09 6.477927E+03
3.174546E-01 6.728271E+01 2.244093E-02 1.147672E-01 9.649117E-01 2.35376e-09 6.482857E+03
3.114303E-01 6.760010E+01 2.232315E-02 1.172511E-01 9.638788E-01 2.35465e-09 6.486812E+03
3.246374E-01 6.658447E+01 2.215850E-02 9.136246E-02 9.620398E-01 2.25883e-09 6.482433E+03
3.068842E-01 6.782471E+01 2.220551E-02 9.354412E-02 9.711158E-01 2.27062e-09 6.482258E+03
3.059142E-01 6.788818E+01 2.224119E-02 9.115415E-02 9.660454E-01 2.25965e-09 6.484469E+03
3.073504E-01 6.775635E+01 2.228293E-02 7.726433E-02 9.629937E-01 2.20453e-09 6.483135E+03
3.040833E-01 6.818115E+01 2.239080E-02 7.975958E-02 9.634440E-01 2.19234e-09 6.480322E+03
3.251678E-01 6.651123E+01 2.201496E-02 5.261343E-02 9.562159E-01 2.09389e-09 6.481484E+03
3.242720E-01 6.661377E+01 2.214233E-02 8.240928E-02 9.590809E-01 2.2119e-09 6.485453E+03
3.368091E-01 6.579834E+01 2.206646E-02 7.919904E-02 9.548120E-01 2.22668e-09 6.489482E+03
3.183096E-01 6.708740E+01 2.227420E-02 8.089331E-02 9.623963E-01 2.21805e-09 6.477053E+03
3.176985E-01 6.715576E+01 2.227492E-02 8.150199E-02 9.638291E-01 2.20383e-09 6.485670E+03
3.144849E-01 6.726318E+01 2.224213E-02 8.517062E-02 9.642657E-01 2.22267e-09 6.474771E+03
3.121623E-01 6.751709E+01 2.215982E-02 9.473799E-02 9.685541E-01 2.26614e-09 6.479157E+03
3.020430E-01 6.832275E+01 2.249201E-02 1.129490E-01 9.756835E-01 2.3421e-09 6.486536E+03
3.035795E-01 6.818604E+01 2.243846E-02 7.664767E-02 9.714771E-01 2.1766e-09 6.479078E+03
3.124649E-01 6.760986E+01 2.246039E-02 7.112399E-02 9.664371E-01 2.16139e-09 6.492877E+03
3.145956E-01 6.748291E+01 2.245207E-02 6.523379E-02 9.644809E-01 2.11861e-09 6.485771E+03
3.177047E-01 6.709717E+01 2.227041E-02 9.571948E-02 9.594450E-01 2.28601e-09 6.486922E+03
3.177853E-01 6.720947E+01 2.235176E-02 9.511165E-02 9.600753E-01 2.29103e-09 6.481406E+03
3.173205E-01 6.719482E+01 2.231106E-02 7.016298E-02 9.585341E-01 2.17946e-09 6.486967E+03
3.159763E-01 6.727295E+01 2.226924E-02 1.080713E-01 9.662568E-01 2.35002e-09 6.480243E+03
3.129467E-01 6.747803E+01 2.224788E-02 7.001872E-02 9.661754E-01 2.18132e-09 6.486239E+03
3.174577E-01 6.711182E+01 2.225827E-02 9.472761E-02 9.602446E-01 2.2668e-09 6.486496E+03
3.010537E-01 6.841553E+01 2.259827E-02 1.097928E-01 9.725476E-01 2.32691e-09 6.481030E+03
3.116773E-01 6.755615E+01 2.236630E-02 1.009329E-01 9.594442E-01 2.29595e-09 6.488680E+03
3.314168E-01 6.623291E+01 2.222561E-02 7.667000E-02 9.573696E-01 2.21323e-09 6.481212E+03
3.191165E-01 6.704346E+01 2.233402E-02 7.699134E-02 9.597849E-01 2.19168e-09 6.484475E+03
3.115198E-01 6.751221E+01 2.222012E-02 9.725073E-02 9.694457E-01 2.29375e-09 6.480095E+03
3.146978E-01 6.738525E+01 2.237018E-02 8.519347E-02 9.660858E-01 2.25097e-09 6.486234E+03
3.208370E-01 6.688721E+01 2.217898E-02 6.551840E-02 9.551414E-01 2.15891e-09 6.486067E+03
3.187043E-01 6.703369E+01 2.218035E-02 5.935332E-02 9.577056E-01 2.1306e-09 6.490974E+03
3.068891E-01 6.777100E+01 2.222174E-02 6.710995E-02 9.667440E-01 2.14033e-09 6.481211E+03
3.223046E-01 6.666748E+01 2.198531E-02 6.376291E-02 9.596426E-01 2.16302e-09 6.488163E+03
3.231161E-01 6.678467E+01 2.221760E-02 9.281921E-02 9.637584E-01 2.28444e-09 6.481873E+03
3.159510E-01 6.715576E+01 2.222534E-02 9.238949E-02 9.710622E-01 2.26346e-09 6.485952E+03
3.162396E-01 6.709717E+01 2.218818E-02 6.599915E-02 9.622671E-01 2.14904e-09 6.479568E+03
3.200946E-01 6.694580E+01 2.221679E-02 3.978527E-02 9.597444E-01 2.0306e-09 6.486070E+03
3.224658E-01 6.668701E+01 2.194380E-02 5.578251E-02 9.620319E-01 2.10631e-09 6.480058E+03
3.089631E-01 6.767822E+01 2.217478E-02 1.060966E-01 9.694939E-01 2.31254e-09 6.484189E+03
3.044651E-01 6.802490E+01 2.234885E-02 8.983129E-02 9.665519E-01 2.22898e-09 6.482887E+03
3.191841E-01 6.691162E+01 2.206093E-02 8.808426E-02 9.623577E-01 2.24312e-09 6.485246E+03
3.043402E-01 6.808350E+01 2.243607E-02 1.018599E-01 9.710998E-01 2.2781e-09 6.479665E+03
3.100765E-01 6.770264E+01 2.236716E-02 8.347569E-02 9.671885E-01 2.18486e-09 6.492446E+03
3.185267E-01 6.711182E+01 2.221295E-02 1.134886E-01 9.609788E-01 2.38218e-09 6.482457E+03
3.046343E-01 6.800537E+01 2.223786E-02 8.824911E-02 9.690206E-01 2.2373e-09 6.485375E+03
3.172285E-01 6.706787E+01 2.214309E-02 7.885514E-02 9.677698E-01 2.21523e-09 6.486824E+03
3.164076E-01 6.711182E+01 2.209261E-02 9.556318E-02 9.638110E-01 2.28671e-09 6.485212E+03
3.264471E-01 6.644775E+01 2.205125E-02 6.303744E-02 9.616172E-01 2.14703e-09 6.480127E+03
3.139373E-01 6.741455E+01 2.226667E-02 8.709874E-02 9.655683E-01 2.26019e-09 6.481276E+03
3.146299E-01 6.733154E+01 2.239680E-02 5.871572E-02 9.625611E-01 2.11472e-09 6.489199E+03
3.163980E-01 6.728271E+01 2.237389E-02 7.391494E-02 9.577960E-01 2.17921e-09 6.484128E+03
3.093089E-01 6.770264E+01 2.218447E-02 6.410406E-02 9.668191E-01 2.11831e-09 6.483652E+03
3.067186E-01 6.793701E+01 2.230327E-02 1.123453E-01 9.683362E-01 2.3367e-09 6.485953E+03
3.145323E-01 6.725830E+01 2.215367E-02 1.097379E-01 9.600933E-01 2.34361e-09 6.488771E+03
3.075726E-01 6.789307E+01 2.246625E-02 9.754051E-02 9.635992E-01 2.26935e-09 6.496099E+03
3.090340E-01 6.779053E+01 2.239391E-02 5.229888E-02 9.655959E-01 2.08641e-09 6.481559E+03
3.122974E-01 6.767334E+01 2.265171E-02 9.563332E-02 9.665376E-01 2.27576e-09 6.487654E+03
3.295911E-01 6.644287E+01 2.237842E-02 8.496584E-02 9.615032E-01 2.23716e-09 6.483076E+03
3.087896E-01 6.776611E+01 2.241450E-02 1.068264E-01 9.666604E-01 2.31734e-09 6.482502E+03
3.134489E-01 6.744873E+01 2.225032E-02 9.234436E-02 9.635852E-01 2.28816e-09 6.485876E+03
3.239432E-01 6.672607E+01 2.214571E-02 5.459289E-02 9.567769E-01 2.11921e-09 6.485844E+03
3.139597E-01 6.736572E+01 2.223142E-02 1.004627E-01 9.645996E-01 2.28438e-09 6.483286E+03
3.202578E-01 6.704834E+01 2.242097E-02 8.034291E-02 9.647240E-01 2.21957e-09 6.480783E+03
3.049334E-01 6.810303E+01 2.253297E-02 8.805814E-02 9.692012E-01 2.24008e-09 6.478714E+03
3.089506E-01 6.774170E+01 2.240105E-02 8.035055E-02 9.669310E-01 2.18931e-09 6.490198E+03
3.135117E-01 6.740479E+01 2.216162E-02 7.487913E-02 9.629734E-01 2.19073e-09 6.479129E+03
3.117462E-01 6.757080E+01 2.227188E-02 8.414696E-02 9.616761E-01 2.23223e-09 6.483910E+03
3.274309E-01 6.639893E+01 2.205432E-02 4.277565E-02 9.548852E-01 2.06517e-09 6.489923E+03
3.174956E-01 6.709229E+01 2.230631E-02 7.759106E-02 9.655164E-01 2.20338e-09 6.485152E+03
3.164679E-01 6.711182E+01 2.219599E-02 7.181781E-02 9.619386E-01 2.17061e-09 6.480917E+03
3.189821E-01 6.693115E+01 2.217645E-02 9.452765E-02 9.637262E-01 2.27526e-09 6.485406E+03
3.041254E-01 6.800537E+01 2.234556E-02 1.029305E-01 9.688944E-01 2.27974e-09 6.481405E+03
3.012550E-01 6.821045E+01 2.218992E-02 6.206389E-02 9.669045E-01 2.12672e-09 6.485108E+03
3.135446E-01 6.745361E+01 2.227245E-02 9.167380E-02 9.650776E-01 2.25783e-09 6.480180E+03
3.004449E-01 6.832275E+01 2.235898E-02 1.063058E-01 9.745279E-01 2.31278e-09 6.482315E+03
3.033158E-01 6.816162E+01 2.245914E-02 9.808143E-02 9.707963E-01 2.28695e-09 6.481750E+03
3.105568E-01 6.770264E+01 2.247443E-02 7.504641E-02 9.655008E-01 2.19744e-09 6.479988E+03
3.099020E-01 6.781006E+01 2.253045E-02 7.559089E-02 9.660935E-01 2.17731e-09 6.480795E+03
3.175341E-01 6.730713E+01 2.246428E-02 8.633170E-02 9.630224E-01 2.24331e-09 6.485883E+03
3.241729E-01 6.663330E+01 2.213593E-02 3.667180E-02 9.596090E-01 2.0358e-09 6.492487E+03
3.076472E-01 6.777100E+01 2.229639E-02 8.993944E-02 9.718811E-01 2.2423e-09 6.479995E+03
3.107132E-01 6.758057E+01 2.225860E-02 9.181707E-02 9.662815E-01 2.25408e-09 6.479495E+03
3.121577E-01 6.728760E+01 2.204272E-02 8.394285E-02 9.623280E-01 2.21004e-09 6.482939E+03
3.283345E-01 6.638916E+01 2.212979E-02 9.781772E-02 9.571942E-01 2.3073e-09 6.482807E+03
2.965885E-01 6.862061E+01 2.240280E-02 9.406868E-02 9.748633E-01 2.25977e-09 6.491438E+03
3.021330E-01 6.817627E+01 2.228696E-02 6.686292E-02 9.754305E-01 2.13268e-09 6.481902E+03
3.107669E-01 6.773682E+01 2.247238E-02 9.739898E-02 9.651433E-01 2.28293e-09 6.481221E+03
3.145570E-01 6.726807E+01 2.222758E-02 9.775326E-02 9.653503E-01 2.28594e-09 6.484735E+03
3.187292E-01 6.700928E+01 2.220471E-02 7.838603E-02 9.645876E-01 2.20311e-09 6.482188E+03
3.299061E-01 6.620361E+01 2.206982E-02 3.966478E-02 9.616638E-01 2.02855e-09 6.486931E+03
3.261198E-01 6.652588E+01 2.219232E-02 5.369534E-02 9.611550E-01 2.13066e-09 6.482765E+03
3.216828E-01 6.687256E+01 2.228263E-02 6.096421E-02 9.677274E-01 2.13852e-09 6.487691E+03
3.181475E-01 6.703369E+01 2.217216E-02 6.918639E-02 9.628148E-01 2.16422e-09 6.487144E+03
3.272773E-01 6.639893E+01 2.204580E-02 9.028128E-02 9.613186E-01 2.25914e-09 6.481097E+03
3.272816E-01 6.641846E+01 2.209352E-02 7.459257E-02 9.547828E-01 2.19952e-09 6.478030E+03
3.387486E-01 6.558838E+01 2.184771E-02 6.459719E-02 9.516535E-01 2.14801e-09 6.485694E+03
3.308827E-01 6.614502E+01 2.199804E-02 6.865572E-02 9.553173E-01 2.17036e-09 6.478368E+03
3.159576E-01 6.722412E+01 2.233320E-02 7.247457E-02 9.613731E-01 2.15935e-09 6.488977E+03
3.232559E-01 6.669678E+01 2.213240E-02 6.905950E-02 9.616732E-01 2.15504e-09 6.486089E+03
3.279065E-01 6.644775E+01 2.223671E-02 7.761086E-02 9.584878E-01 2.20477e-09 6.488380E+03
3.204249E-01 6.702881E+01 2.233941E-02 9.735714E-02 9.622693E-01 2.29207e-09 6.493469E+03
3.233600E-01 6.669189E+01 2.209238E-02 8.955907E-02 9.678051E-01 2.24955e-09 6.483296E+03
3.183137E-01 6.696045E+01 2.213464E-02 8.367627E-02 9.658620E-01 2.22349e-09 6.484442E+03
3.235607E-01 6.661377E+01 2.201836E-02 9.309138E-02 9.634907E-01 2.26594e-09 6.481830E+03
3.130696E-01 6.745850E+01 2.225239E-02 6.787860E-02 9.667426E-01 2.1529e-09 6.494575E+03
3.204236E-01 6.688721E+01 2.218302E-02 8.040535E-02 9.645833E-01 2.20489e-09 6.487114E+03
3.252110E-01 6.663330E+01 2.214506E-02 6.178129E-02 9.591967E-01 2.13498e-09 6.481802E+03
3.158398E-01 6.733154E+01 2.234225E-02 6.488472E-02 9.651269E-01 2.13985e-09 6.480525E+03
3.197687E-01 6.695068E+01 2.220834E-02 7.559200E-02 9.611770E-01 2.20347e-09 6.479783E+03
3.292478E-01 6.635010E+01 2.221406E-02 6.607550E-02 9.564796E-01 2.16097e-09 6.492689E+03
3.204776E-01 6.688721E+01 2.221170E-02 8.560313E-02 9.644982E-01 2.23842e-09 6.479853E+03
3.144249E-01 6.736572E+01 2.230319E-02 7.629410E-02 9.676199E-01 2.17211e-09 6.482348E+03
3.136076E-01 6.736572E+01 2.228943E-02 7.825791E-02 9.692679E-01 2.16405e-09 6.486433E+03
3.315573E-01 6.612061E+01 2.216107E-02 9.933572E-02 9.642715E-01 2.27632e-09 6.493232E+03
3.323497E-01 6.622314E+01 2.217121E-02 8.275614E-02 9.582486E-01 2.22095e-09 6.487884E+03
3.087705E-01 6.780029E+01 2.238779E-02 1.015912E-01 9.689541E-01 2.29173e-09 6.481463E+03
3.164739E-01 6.707275E+01 2.208145E-02 7.703036E-02 9.687070E-01 2.19445e-09 6.481541E+03
3.005701E-01 6.827881E+01 2.228975E-02 7.945483E-02 9.733315E-01 2.20858e-09 6.481676E+03
3.199555E-01 6.683350E+01 2.192207E-02 6.697840E-02 9.628518E-01 2.14353e-09 6.488530E+03
3.250886E-01 6.653076E+01 2.205020E-02 8.473956E-02 9.613942E-01 2.21237e-09 6.483527E+03
3.003030E-01 6.837158E+01 2.245194E-02 9.356424E-02 9.688454E-01 2.24678e-09 6.485094E+03
2.969030E-01 6.858643E+01 2.246013E-02 1.080965E-01 9.733637E-01 2.32596e-09 6.485791E+03
3.264191E-01 6.648682E+01 2.208973E-02 9.398481E-02 9.576099E-01 2.28692e-09 6.487130E+03
3.382252E-01 6.572510E+01 2.206889E-02 5.158774E-02 9.514623E-01 2.09717e-09 6.484124E+03
2.982486E-01 6.847900E+01 2.239724E-02 5.067804E-02 9.706602E-01 2.06508e-09 6.487692E+03
3.097688E-01 6.773193E+01 2.238675E-02 7.473633E-02 9.659344E-01 2.17419e-09 6.482336E+03
3.049866E-01 6.812256E+01 2.249590E-02 9.952443E-02 9.687041E-01 2.31006e-09 6.485663E+03
3.206754E-01 6.687744E+01 2.218665E-02 8.135012E-02 9.624542E-01 2.21788e-09 6.481365E+03
3.156203E-01 6.730713E+01 2.238963E-02 9.244259E-02 9.629130E-01 2.24938e-09 6.482393E+03
3.160648E-01 6.721924E+01 2.227729E-02 9.502870E-02 9.688887E-01 2.2977e-09 6.481573E+03
3.151845E-01 6.726318E+01 2.232080E-02 9.852764E-02 9.654265E-01 2.2886e-09 6.482383E+03
3.109590E-01 6.756104E+01 2.235134E-02 1.076031E-01 9.637883E-01 2.30566e-09 6.483106E+03
3.057178E-01 6.794678E+01 2.229724E-02 9.877941E-02 9.696245E-01 2.30405e-09 6.488131E+03
3.153446E-01 6.733643E+01 2.231809E-02 7.637588E-02 9.645059E-01 2.19914e-09 6.477043E+03
3.167525E-01 6.727295E+01 2.239987E-02 6.259448E-02 9.612358E-01 2.14717e-09 6.475638E+03
3.177664E-01 6.704834E+01 2.217142E-02 7.899281E-02 9.609632E-01 2.21329e-09 6.482092E+03
3.137279E-01 6.736572E+01 2.225935E-02 5.760881E-02 9.650183E-01 2.1099e-09 6.483253E+03
3.307063E-01 6.616455E+01 2.207739E-02 6.960340E-02 9.566944E-01 2.17612e-09 6.486380E+03
3.343006E-01 6.597900E+01 2.203324E-02 7.336375E-02 9.528324E-01 2.19629e-09 6.480842E+03
3.144101E-01 6.721924E+01 2.215381E-02 5.986792E-02 9.597973E-01 2.13248e-09 6.485230E+03
3.159960E-01 6.723389E+01 2.231878E-02 8.364095E-02 9.607649E-01 2.24334e-09 6.491359E+03
3.077997E-01 6.783936E+01 2.232976E-02 9.514899E-02 9.703125E-01 2.28666e-09 6.477737E+03
3.203943E-01 6.699951E+01 2.215425E-02 7.958061E-02 9.585889E-01 2.21853e-09 6.483265E+03
3.101645E-01 6.751221E+01 2.210355E-02 6.369622E-02 9.661889E-01 2.11553e-09 6.488591E+03
3.173816E-01 6.709229E+01 2.217422E-02 6.186687E-02 9.558464E-01 2.14045e-09 6.494544E+03
