#cosmological_parameters--omega_m  cosmological_parameters--hubble cosmological_parameters--ombh2 cosmological_parameters--tau cosmological_parameters--n_s cosmological_parameters--A_s like
3.246610E-01 6.655518E+01 2.201221E-02 6.895095E-02 9.686834E-01 2.16591e-09 6.487152E+03
3.138550E-01 6.729248E+01 2.211725E-02 9.181317E-02 9.689435E-01 2.25752e-09 6.484288E+03
3.025134E-01 6.805908E+01 2.220874E-02 9.308579E-02 9.628700E-01 2.24067e-09 6.486601E+03
3.180318E-01 6.702881E+01 2.213860E-02 8.081979E-02 9.621346E-01 2.19915e-09 6.479128E+03
3.130076E-01 6.740479E+01 2.215926E-02 8.475647E-02 9.635317E-01 2.21701e-09 6.487825E+03
3.087492E-01 6.765869E+01 2.220559E-02 5.799882E-02 9.612957E-01 2.11284e-09 6.483591E+03
3.342241E-01 6.592529E+01 2.200074E-02 6.905052E-02 9.540989E-01 2.17169e-09 6.481988E+03
3.103620E-01 6.750732E+01 2.215669E-02 6.942297E-02 9.693990E-01 2.13598e-09 6.485239E+03
2.995983E-01 6.840088E+01 2.240036E-02 9.696331E-02 9.731110E-01 2.27918e-09 6.486578E+03
3.069450E-01 6.797607E+01 2.241471E-02 7.045155E-02 9.651060E-01 2.16673e-09 6.480960E+03
3.135623E-01 6.741455E+01 2.225904E-02 7.921141E-02 9.634386E-01 2.20498e-09 6.482074E+03
3.190501E-01 6.698975E+01 2.220742E-02 6.654839E-02 9.642236E-01 2.14634e-09 6.488533E+03
3.083600E-01 6.781006E+01 2.237022E-02 8.026032E-02 9.628670E-01 2.20929e-09 6.482573E+03
3.210404E-01 6.694580E+01 2.222036E-02 7.378945E-02 9.661495E-01 2.19112e-09 6.488624E+03
3.206296E-01 6.693115E+01 2.215449E-02 5.615103E-02 9.657385E-01 2.09664e-09 6.482224E+03
3.109645E-01 6.756104E+01 2.216890E-02 5.449586E-02 9.675173E-01 2.07702e-09 6.488259E+03
3.076894E-01 6.786865E+01 2.244114E-02 8.812049E-02 9.660942E-01 2.23106e-09 6.480619E+03
3.204181E-01 6.690186E+01 2.215449E-02 7.025898E-02 9.615206E-01 2.17928e-09 6.480713E+03
3.093846E-01 6.769287E+01 2.231239E-02 7.667973E-02 9.653105E-01 2.17272e-09 6.481384E+03
3.159513E-01 6.724365E+01 2.227267E-02 1.011058E-01 9.642651E-01 2.28692e-09 6.483096E+03
3.214241E-01 6.681396E+01 2.212083E-02 9.724377E-02 9.577110E-01 2.30705e-09 6.486631E+03
3.042979E-01 6.803955E+01 2.233027E-02 9.770965E-02 9.711917E-01 2.27032e-09 6.487479E+03
3.059144E-01 6.789795E+01 2.226163E-02 9.917701E-02 9.729548E-01 2.28455e-09 6.485380E+03
3.190931E-01 6.704834E+01 2.228613E-02 7.940635E-02 9.654660E-01 2.20399e-09 6.478121E+03
3.050071E-01 6.790771E+01 2.229301E-02 1.013042E-01 9.732079E-01 2.27374e-09 6.486954E+03
3.211136E-01 6.684814E+01 2.220731E-02 5.333347E-02 9.593693E-01 2.0875e-09 6.491610E+03
3.141653E-01 6.728760E+01 2.221443E-02 7.814216E-02 9.602107E-01 2.18847e-09 6.487897E+03
3.223304E-01 6.683350E+01 2.214913E-02 8.231342E-02 9.601690E-01 2.2083e-09 6.486606E+03
3.220100E-01 6.692139E+01 2.225818E-02 7.609156E-02 9.594348E-01 2.20102e-09 6.480616E+03
3.245098E-01 6.660889E+01 2.214491E-02 6.015036E-02 9.592738E-01 2.13168e-09 6.480100E+03
3.197368E-01 6.699463E+01 2.226853E-02 7.416672E-02 9.653702E-01 2.20748e-09 6.480793E+03
3.166301E-01 6.719971E+01 2.221408E-02 6.331062E-02 9.684889E-01 2.13659e-09 6.485044E+03
3.216585E-01 6.682861E+01 2.216079E-02 5.658695E-02 9.649759E-01 2.1024e-09 6.479184E+03
3.163652E-01 6.714600E+01 2.212010E-02 8.113113E-02 9.677304E-01 2.2209e-09 6.478932E+03
3.207864E-01 6.686768E+01 2.213450E-02 7.123024E-02 9.654596E-01 2.17179e-09 6.482889E+03
3.178830E-01 6.712646E+01 2.233177E-02 7.646981E-02 9.637278E-01 2.19299e-09 6.481106E+03
3.229555E-01 6.682373E+01 2.226028E-02 7.304585E-02 9.620120E-01 2.17686e-09 6.482304E+03
3.015558E-01 6.831787E+01 2.244178E-02 8.716310E-02 9.688575E-01 2.24183e-09 6.480914E+03
3.166266E-01 6.716553E+01 2.217250E-02 8.205704E-02 9.645258E-01 2.22812e-09 6.480258E+03
3.286229E-01 6.645752E+01 2.224479E-02 6.772210E-02 9.551341E-01 2.16763e-09 6.488596E+03
3.181167E-01 6.704834E+01 2.217903E-02 7.670083E-02 9.652247E-01 2.18988e-09 6.478483E+03
3.116474E-01 6.756104E+01 2.227717E-02 7.387957E-02 9.684231E-01 2.19301e-09 6.477648E+03
